,name,co_type,co_hq,No_employee,ratings,reviews,year_old
273,Life Insurance C...,Private,Mumbai + 343 more,1 Lakh+ Employees (India),4.4,1.5k,66 years old
274,G4S,Private,"Gurgaon/Gurugram,Haryana + 96 more",1 Lakh+ Employees (India),4.2,1.5k,26 years old
275,AFCONS Infrastru...,Partnership,"Mumbai,Maharashtra + 71 more",1k-5k Employees (India),4.5,1.5k,63 years old
276,Cogent E Service...,Private,"Noida,Uttar Pradesh + 27 more",10k-50k Employees (India),3.4,1.5k,18 years old
277,Voltas,Public,"Mumbai,Maharashtra + 134 more",5k-10k Employees (India),4.1,1.5k,68 years old
278,R1 RCM,Private,"Murray,Utah + 15 more",5k-10k Employees (India),4.0,1.4k,19 years old
279,Delhi Public Sch...,Public,"Greater Noida,Uttar Pradesh + 203 more",1k-5k Employees (India),3.9,1.4k,24 years old
280,I Process Servic...,Private,"Mumbai,Maharashtra + 200 more",1k-5k Employees (India),4.0,1.4k,17 years old
281,Persistent Syste...,Public,"Pune,Maharashtra + 7 more",10k-50k Employees (India),4.2,1.4k,32 years old
282,Raymond,Public,New York + 105 more,5k-10k Employees (India),4.0,1.7k,97 years old
283,Samsung Electron...,Noida + 167 more,,,4.1,1.4k,
284,Access Healthcar...,Private,"Dallas,Texas + 16 more",1k-5k Employees (India),4.1,1.4k,11 years old
285,Birla Sun Life I...,Private,"Mumbai,Maharashtra + 272 more",10k-50k Employees (India),4.3,1.4k,22 years old
286,Exide Industries,Public,"Kolkata,West Bengal + 159 more",1k-5k Employees (India),3.8,1.4k,75 years old
287,Aditya Birla Gro...,"Mumbai,Maharashtra + 186 more",165 years old,,4.2,15.5k,50k-1 Lakh Employees (India)
288,Zensar Technolog...,Public,"Pune,Maharashtra + 17 more",10k-50k Employees (India),3.9,1.4k,31 years old
289,ACT Fibernet,Private,"Bengaluru/Bangalore,Karnataka + 32 more",5k-10k Employees (India),4.1,1.4k,22 years old
290,Micro Labs,Private,"Bangalore/Bengaluru,Karnataka + 96 more",10k-50k Employees (India),3.8,1.4k,49 years old
291,BHEL,Private,"Bangalore/Bengaluru,Karnataka + 83 more",10k-50k Employees (India),4.3,1.4k,58 years old
292,R.R. Donnelley,Private,"Chicago,Illinois + 9 more",5k-10k Employees (India),4.2,1.4k,158 years old
293,NIIT Technologie...,Public,"Noida,Uttar Pradesh + 77 more",5k-10k Employees (India),3.5,1.4k,18 years old
294,PVR Cinemas,Public,Gurgaon + 89 more,5k-10k Employees (India),4.2,1.4k,25 years old
295,United Phosphoru...,Public,"Mumbai,Maharashtra + 111 more",5k-10k Employees (India),4.3,1.4k,53 years old
296,PepsiCo,Private,"Harrison,New York + 174 more",1 Lakh+ Employees (India),4.2,1.4k,33 years old
297,Walmart,Private,"Bangalore/Bengaluru,Karnataka + 69 more",5k-10k Employees (India),4.2,11.4k,13 years old
298,Ajanta Pharma,Public,"Mumbai,Maharashtra + 82 more",1k-5k Employees (India),4.0,1.3k,49 years old
299,Poonawalla Finco...,Public,"Mumbai,Maharashtra + 243 more",5k-10k Employees (India),4.1,1.7k,34 years old
300,Statestreet HCL ...,Private,New Delhi + 10 more,5k-10k Employees (India),3.4,1.3k,10 years old
301,The Himalaya Dru...,Private,"San Francisco,California + 149 more",1k-5k Employees (India),4.2,1.3k,92 years old
302,Renault-Nissan,Private,"Chennai,Tamil Nadu + 62 more",10k-50k Employees (India),4.1,1.4k,12 years old
303,TVS Supply Chain...,"Chennai,Tamil Nadu + 108 more",126 years old,,4.1,1.3k,1k-5k Employees (India)
304,Birlasoft,Public,"Pune,Maharashtra + 23 more",10k-50k Employees (India),3.8,1.3k,27 years old
305,Cholamandalam MS...,JV,"Chennai,Tamil Nadu + 264 more",50k-1 Lakh Employees (India),4.0,1.3k,21 years old
306,Emcure Pharmaceu...,Private,Pune + 78 more,5k-10k Employees (India),4.1,1.4k,41 years old
307,Blue Star,Public,"Mumbai,Maharashtra + 100 more",1k-5k Employees (India),4.1,1.3k,79 years old
308,HDFC Sales,Private,"Mumbai,Maharashtra + 213 more",10k-50k Employees (India),4.1,1.3k,18 years old
309,Honda,Private,"Greater Noida,Uttar Pradesh + 166 more",10k-50k Employees (India),4.2,4.1k,37 years old
310,Exide Life Insur...,Private,"Bangalore/Bengaluru,Karnataka + 184 more",1k-5k Employees (India),3.7,1.3k,21 years old
311,Sterling & Wilso...,Private,Mumbai + 67 more,5k-10k Employees (India),4.2,1.3k,95 years old
312,Tata Technologie...,Private,Singapore + 31 more,5k-10k Employees (India),3.5,1.3k,33 years old
313,Britannia,Public,"Reading,Reading + 160 more",5k-10k Employees (India),4.2,1.3k,130 years old
314,Mahindra Holiday...,Private,"Chennai,Tamil Nadu + 86 more",5k-10k Employees (India),3.8,1.3k,26 years old
