,name,co_type,co_hq,No_employee,ratings,reviews,year_old
644,Ashoka Buildcon,Public,"Nasik/Nashik,Maharashtra + 94 more",1k-5k Employees (India),4.2,728,46 years old
645,Fino Payments Ba...,Private,"Mumbai,Maharashtra + 154 more",1k-5k Employees (India),4.2,728,16 years old
646,Manipal Hospita...,Private,"Bangalore/Bengaluru,Karnataka + 33 more",5k-10k Employees (India),4.3,725,69 years old
647,XL Dynamics,Private,Navi Mumbai + 20 more,1k-5k Employees (India),3.8,723,20 years old
648,DISH TV,Public,"Noida,Uttar Pradesh + 114 more",1k-5k Employees (India),3.8,1.8k,19 years old
649,Alstom Transport...,Private,Saint-Ouen + 34 more,5k-10k Employees (India),4.0,722,94 years old
650,Asahi India Glas...,Public,"Gurgaon/Gurugram,Haryana + 48 more",1k-5k Employees (India),3.9,721,38 years old
651,Zf Rane Automoti...,Chennai + 38 more,,,4.1,721,
652,Synchrony,Private,Stamford + 4 more,1k-5k Employees (India),4.4,721,19 years old
653,Compass Group S...,Public,"Chertsey,Surrey + 51 more",10k-50k Employees (India),4.1,775,81 years old
654,ECIL,Public,"Hyderabad/Secunderabad,Telangana + 32 more",501-1k Employees (India),4.2,719,55 years old
655,Haldiram Foods,Private,Nagpur + 66 more,1k-5k Employees (India),3.9,817,52 years old
656,Devyani Internat...,Public,Gurugram + 67 more,5k-10k Employees (India),3.7,718,31 years old
657,Broadridge Finan...,Private,"New York City,New York + 6 more",1k-5k Employees (India),4.0,716,15 years old
658,NSE.IT,Public,"Mumbai,Maharashtra + 119 more",201-500 Employees (India),3.7,715,23 years old
659,Cargill,Private,"Wayzata,Minnesota + 77 more",1k-5k Employees (India),4.3,715,157 years old
660,Shriram Pistons ...,Public,"Delhi/NCR,Delhi + 38 more",1k-5k Employees (India),4.2,714,59 years old
661,Granules India,Public,"Hyderabad/Secunderabad,Telangana + 8 more",1k-5k Employees (India),4.1,714,38 years old
662,Jubilant Pharmov...,Public,"Noida,Uttar Pradesh + 42 more",1k-5k Employees (India),4.1,713,44 years old
663,BVG India,Private,"Pune,Maharashtra + 72 more",1k-5k Employees (India),3.9,712,25 years old
664,Godrej Group,Public,Mumbai + 89 more,10k-50k Employees (India),3.9,4.3k,125 years old
665,Allstate,Private,"Bangalore/Bengaluru,Karnataka + 5 more",1k-5k Employees (India),4.3,709,10 years old
666,NSH,Private,Al Jubail + 31 more,501-1k Employees (India),3.7,708,44 years old
667,Iffco Tokio Gene...,Private,"Gurgaon/Gurugram,Haryana + 167 more",1k-5k Employees (India),4.2,707,22 years old
668,Nielsen,Private,"New York City,New York + 78 more",1k-5k Employees (India),4.0,1k,99 years old
669,KIA MOTORS,Private,Seoul + 79 more,1k-5k Employees (India),3.8,706,78 years old
670,Indoco Remedies,Public,"Mumbai,Maharashtra + 45 more",1k-5k Employees (India),3.8,704,75 years old
671,Bajaj Motors,Private,Gurgaon + 51 more,5k-10k Employees (India),3.8,703,36 years old
672,Bharat Sanchar N...,Private,"Delhi/NCR,New Delhi + 174 more",50k-1 Lakh Employees (India),4.0,702,22 years old
673,HTC Global Servi...,Private,"Troy,Michigan + 21 more",5k-10k Employees (India),3.8,702,32 years old
674,GAIL,Private,"Delhi/NCR,Delhi + 74 more",1k-5k Employees (India),4.3,1.1k,38 years old
675,Mondelez Interna...,Private,"Greater Chicago Area,IL + 97 more",1k-5k Employees (India),4.5,942,10 years old
676,Sanofi,Public,Paris + 58 more,5k-10k Employees (India),4.5,849,18 years old
677,Columbia Asia,Private,"Bangalore/Bengaluru,Karnataka + 19 more",1k-5k Employees (India),4.3,700,17 years old
678,Max Bupa Health ...,Private,"Delhi/NCR,New Delhi + 110 more",5k-10k Employees (India),3.9,700,14 years old
679,Bajaj Capital,Public,"Delhi/NCR,New Delhi + 112 more",1k-5k Employees (India),3.8,976,58 years old
680,Microsoft Corpor...,Private,Sunnyvale + 41 more,5k-10k Employees (India),4.3,784,47 years old
681,TTEC India,Public,"San Mateo,California + 9 more",1k-5k Employees (India),4.1,705,40 years old
682,MiraMed Ajuba,Private,"Chennai,Tamil Nadu + 5 more",1k-5k Employees (India),4.1,694,21 years old
683,Sahara India Par...,Private,"Lucknow,Uttar Pradesh + 182 more",5k-10k Employees (India),4.0,1.2k,44 years old
684,Bisleri,Private,"Mumbai,Maharashtra + 94 more",1k-5k Employees (India),4.2,691,57 years old
685,Luminous Power T...,Private,"Gurgaon/Gurugram,Haryana + 90 more",1k-5k Employees (India),4.2,691,34 years old
686,Oil And Natural ...,Public,"Delhi/NCR,Delhi + 61 more",10k-50k Employees (India),4.4,1.7k,66 years old
687,Apotex Research,Private,"Brantford,Ontario + 9 more",1k-5k Employees (India),4.5,688,19 years old
688,Johnson Lifts,Private,"Chennai,Tamil Nadu + 52 more",1k-5k Employees (India),4.1,687,41 years old
689,Spencer's Retail,Public,"Kolkata,West Bengal + 49 more",1k-5k Employees (India),4.1,687,159 years old
690,Unichem Laborato...,Public,"Mumbai,Maharashtra + 58 more",1k-5k Employees (India),4.1,687,78 years old
691,Honda Cars,Greater Noida + 60 more,5k-10k Employees (India),,4.2,686,
692,Meesho,Private,"Bangalore,Karnataka + 58 more",5k-10k Employees (India),3.9,683,7 years old
693,Piaggio,Private,Pontedera + 66 more,1k-5k Employees (India),3.9,679,138 years old
694,BGR Energy Syste...,Public,"Nellore,Andhra Pradesh + 39 more",1k-5k Employees (India),3.9,684,37 years old
695,Ab Inbev,Public,Leuven + 53 more,1k-5k Employees (India),3.8,677,34 years old
696,Hero Motors Comp...,Private,New Delhi + 153 more,5k-10k Employees (India),4.2,3.9k,24 years old
697,Lemon Tree Hotel...,Public,"Delhi/NCR,Delhi + 51 more",1k-5k Employees (India),4.2,671,20 years old
698,CitiusTech,Private,New Jersey + 9 more,1k-5k Employees (India),4.1,671,17 years old
699,Tata Chemicals,Public,"Mumbai,Maharashtra + 75 more",1k-5k Employees (India),4.2,1.5k,84 years old
700,Fresenius Kabi,Pune + 49 more,,,4.0,667,
701,Strides Pharma,Public,"Bangalore/Bengaluru,Karnataka + 28 more",201-500 Employees (India),4.1,666,32 years old
702,Kendriya Vidyala...,Public,"Delhi/NCR,Delhi + 162 more",10k-50k Employees (India),4.3,666,59 years old
703,Wind World,Private,Mumbai + 43 more,5k-10k Employees (India),4.0,664,28 years old
704,Orion Edutech,Private,Kolkata + 93 more,5k-10k Employees (India),3.2,664,16 years old
705,Annapurna Financ...,Private,"Bhubaneswar,Odisha + 174 more",5k-10k Employees (India),4.2,662,13 years old
706,Vistaar Finance,Private,"Bangalore,Karnataka + 150 more",1k-5k Employees (India),4.4,662,12 years old
707,TDK,Private,Tokyo + 25 more,1k-5k Employees (India),3.9,662,87 years old
708,Fidelity Nationa...,Private,"Jacksonville,Florida + 6 more",1k-5k Employees (India),3.9,662,175 years old
709,Optum Global Sol...,Hyderabad/Secunderabad + 9 more,1k-5k Employees (India),,4.1,662,
710,BNP Paribas,Private,Paris + 17 more,10k-50k Employees (India),4.0,1.6k,174 years old
711,Bosch Chassis Sy...,Private,Gerlingen + 16 more,1k-5k Employees (India),4.3,658,71 years old
712,Atul,Public,Valsad + 43 more,1k-5k Employees (India),3.9,655,75 years old
713,Amneal Pharmaceu...,Private,"Bridgewater,New Jersey + 17 more",1k-5k Employees (India),4.3,781,20 years old
714,Fortis Hospitals,Gurugram + 29 more,,,4.1,667,
715,iSON Xperiences,Private,Lagos + 25 more,5k-10k Employees (India),3.5,650,11 years old
716,Nuvoco Vistas,Private,Mumbai + 90 more,1k-5k Employees (India),4.3,649,23 years old
717,Karvy Stock Brok...,Private,"Hyderabad/Secunderabad,Telangana + 99 more",1k-5k Employees (India),3.5,649,32 years old
718,Arthur J. Gallag...,Private,"Pune,Maharashtra + 5 more",1k-5k Employees (India),4.0,649,20 years old
719,Feedback Infrast...,Private,"Gurgaon/Gurugram,Haryana + 97 more",5k-10k Employees (India),3.9,889,32 years old
720,Intertek,Private,London + 57 more,1k-5k Employees (India),3.9,650,25 years old
721,Toppr,Private,"Mumbai,Maharashtra + 43 more",501-1k Employees (India),3.3,644,9 years old
722,Evalueserve,Private,"Schaffhausen,Schaffhausen + 7 more",1k-5k Employees (India),3.8,643,22 years old
723,PNB Housing Fina...,Public,"Delhi/NCR,New Delhi + 91 more",1k-5k Employees (India),4.1,641,34 years old
724,Valeo,Private,Paris + 16 more,5k-10k Employees (India),3.9,641,99 years old
725,Unacademy,Private,"Bangalore,Karnataka + 40 more",1k-5k Employees (India),3.3,742,7 years old
726,Aye Finance,Private,"Delhi,NCT + 161 more",1k-5k Employees (India),4.4,639,9 years old
727,Siemens Gamesa R...,Private,"Zamudio,Vizcaya + 41 more",1k-5k Employees (India),4.3,639,46 years old
728,Technip,Private,Paris + 30 more,1k-5k Employees (India),4.0,639,5 years old
729,GAMMON INDIA,Public,"Mumbai,Maharashtra + 64 more",11-50 Employees (India),4.0,1.1k,100 years old
730,TK Elevator,Private,Essen + 57 more,1k-5k Employees (India),4.1,1.3k,27 years old
731,Medhaj Techno Co...,Private,"Lucknow,Uttar Pradesh + 91 more",1k-5k Employees (India),4.3,636,15 years old
732,UBS,Private,Zurich + 25 more,5k-10k Employees (India),3.8,636,7 years old
733,Infinite Compute...,Public,Rockville + 20 more,1k-5k Employees (India),4.0,635,21 years old
734,FastInfo,Private,"Kolkata,West Bengal + 5 more",201-500 Employees (India),4.6,918,3 years old
735,Continental Auto...,Private,"Lower Saxony,Hanover + 11 more",5k-10k Employees (India),4.2,634,151 years old
736,Taurus BPO Serv...,LLP,"Pune,Indore + 7 more",1k-5k Employees (India),4.9,634,11 years old
737,Tata Capital,"Mumbai,Maharashtra + 107 more",15 years old,,4.3,1.7k,5k-10k Employees (India)
738,DCM Shriram,Public,"Delhi/NCR,New Delhi + 59 more",1k-5k Employees (India),4.2,671,32 years old
739,TUV SUD,Private,Munich + 55 more,1k-5k Employees (India),4.1,631,156 years old
740,Mando Automotive,Private,"Kanchipuram,Tamil Nadu + 17 more",1k-5k Employees (India),4.1,631,16 years old
741,ICICI Home Finan...,Private,"Mumbai,Maharashtra + 134 more",1k-5k Employees (India),3.9,630,23 years old
742,Podar Internatio...,Private,"Mumbai,Maharashtra + 91 more",5k-10k Employees (India),4.4,630,95 years old
743,V2 Retail,Public,"Delhi/NCR,Delhi + 67 more",501-1k Employees (India),3.6,952,21 years old
744,CRB Tech Solutio...,Private,"Pune,Maharashtra + 8 more",501-1k Employees (India),4.3,628,21 years old
745,Polycab Wires,Private,"Mumbai,Maharashtra + 59 more",1k-5k Employees (India),4.0,628,26 years old
746,Caterpillar Inc,Private,"Deerfield,Illinois + 25 more",5k-10k Employees (India),4.2,806,97 years old
747,Burger King,Private,Miami + 58 more,1k-5k Employees (India),3.9,627,8 years old
748,Ceasefire Indust...,Private,Noida + 65 more,1k-5k Employees (India),3.3,625,20 years old
749,Spicer India,Private,"Delhi/NCR,Delhi + 35 more",1k-5k Employees (India),4.4,623,29 years old
750,Vestas,Private,"Aarhus,Central Denmark Region + 32 more",1k-5k Employees (India),4.2,622,77 years old
751,Nirma,Private,"Ahmedabad,Gujarat + 49 more",10k-50k Employees (India),4.4,619,32 years old
752,Telenor,Private,"Fornebu,Fornebu + 118 more",1k-5k Employees (India),4.4,646,13 years old
753,Automotive Manuf...,Private,"Mumbai,Maharashtra + 90 more",1k-5k Employees (India),4.0,616,74 years old
754,SNC-Lavalin,Public,"Montreal,Quebec + 50 more",1k-5k Employees (India),4.4,616,111 years old
755,Next Education I...,Private,"Hyderabad/Secunderabad,Telangana + 68 more",1k-5k Employees (India),3.7,615,15 years old
756,Supreme Industri...,Public,Mumbai + 57 more,5k-10k Employees (India),4.1,673,80 years old
757,Viraj Profiles,Private,"Mumbai,Maharashtra + 16 more",5k-10k Employees (India),3.8,614,22 years old
758,Dhoot Transmissi...,Private,"Mumbai,Maharashtra + 17 more",201-500 Employees (India),3.5,612,24 years old
759,Hathway,Private,"Mumbai,Maharashtra + 43 more",1k-5k Employees (India),3.9,611,63 years old
760,Jindal X,Public,"New Delhi,Delhi + 12 more",501-1k Employees (India),3.3,611,24 years old
761,Barbeque Nation,Private,"Bangalore/Bengaluru,Karnataka + 52 more",5k-10k Employees (India),4.1,610,16 years old
762,Alstom,Private,Saint-Ouen + 47 more,5k-10k Employees (India),4.0,610,94 years old
763,Xiaomi,Private,"Haidian District,Beijing + 124 more",1k-5k Employees (India),4.1,610,12 years old
764,Apollo Pharmacy,Private,"Chennai,Tamil Nadu + 101 more",10k-50k Employees (India),3.8,608,39 years old
765,JK Lakshmi Cemen...,Public,"Delhi/NCR,New Delhi + 89 more",1k-5k Employees (India),4.3,647,40 years old
766,Thomas Cook,Public,"Mumbai,Maharashtra + 68 more",1k-5k Employees (India),3.9,607,141 years old
767,Kirloskar Oil En...,Public,"Pune,Maharashtra + 66 more",1k-5k Employees (India),4.0,607,76 years old
768,AstraZeneca,Public,"Cambridge,Cambridgeshire + 32 more",1k-5k Employees (India),4.2,607,23 years old
769,Godrej Consumer ...,Public,Mumbai + 80 more,10k-50k Employees (India),4.3,606,21 years old
770,Spandana Sphoort...,Public,"Hyderabad/Secunderabad,Telangana + 175 more",5k-10k Employees (India),3.5,605,24 years old
771,Fluor Daniel Ind...,Private,"Irving,Texas + 18 more",501-1k Employees (India),4.0,604,110 years old
772,Schaeffler India,Public,"Mumbai,Maharashtra + 19 more",1k-5k Employees (India),4.3,604,76 years old
773,Parexel Internat...,Private,Massachusetts + 6 more,1k-5k Employees (India),4.2,603,40 years old
774,Eaton Corporatio...,Public,"Cleveland,Ohio + 14 more",5k-10k Employees (India),4.1,603,111 years old
775,ManpowerGroup,Private,"Milwaukee,Wisconsin + 84 more",501-1k Employees (India),4.1,603,25 years old
776,Mahindra CIE Aut...,Public,"Mumbai,Maharashtra + 26 more",1k-5k Employees (India),3.9,602,23 years old
777,Coca-Cola Compan...,Private,Atlanta + 133 more,5k-10k Employees (India),4.4,2.8k,136 years old
778,CADD Centre Trai...,Private,"Chennai,Tamil Nadu + 110 more",1k-5k Employees (India),4.0,601,34 years old
779,VVDN Technologie...,Private,Gurgaon + 24 more,1k-5k Employees (India),3.8,601,15 years old
780,THE LEELA PALACE...,Private,"Mumbai,Maharashtra + 25 more",1k-5k Employees (India),4.2,601,39 years old
781,Suryoday Small F...,Private,"Mumbai,Maharashtra + 104 more",1k-5k Employees (India),4.0,601,14 years old
782,Slk Software Ser...,Private,"Bangalore/Bengaluru,Karnataka + 6 more",1k-5k Employees (India),3.7,598,22 years old
783,Pine Labs,Private,"Noida,Uttar Pradesh + 58 more",1k-5k Employees (India),4.2,598,24 years old
784,TE Connectivity,Private,"Schaffhausen,Schaffhausen + 8 more",1k-5k Employees (India),4.2,598,81 years old
785,Thyrocare Techno...,Public,"Mumbai,Maharashtra + 38 more",1k-5k Employees (India),3.3,596,26 years old
786,Ruchi Soya Indus...,Public,"Mumbai,Maharashtra + 88 more",1k-5k Employees (India),4.1,595,36 years old
787,Aarvee Associate...,Private,"Hyderabad/Secunderabad,Telangana + 95 more",1k-5k Employees (India),3.9,595,33 years old
788,Nilkamal,Public,"Mumbai,Maharashtra + 81 more",1k-5k Employees (India),3.9,672,41 years old
789,VIP Industries,Public,"Mumbai,Maharashtra + 73 more",1k-5k Employees (India),4.0,592,51 years old
790,OM Logistics,Private,"Delhi/NCR,Delhi + 84 more",1k-5k Employees (India),4.1,590,23 years old
791,Micromax Informa...,Private,"Gurgaon/Gurugram,Haryana + 103 more",1k-5k Employees (India),3.9,848,22 years old
792,1point1 Solution...,Public,"Navi Mumbai,Maharashtra + 12 more",5k-10k Employees (India),3.4,589,14 years old
793,Reliance Capital,Public,"Navi Mumbai,Maharashtra + 78 more",10k-50k Employees (India),4.0,3.9k,17 years old
794,Medlife,Private,"Bangalore,Karnataka + 30 more",1k-5k Employees (India),3.6,601,8 years old
795,Newgen Software ...,Public,"Delhi,NCT + 20 more",1k-5k Employees (India),3.6,588,30 years old
796,Future Supply Ch...,Public,"Mumbai,Maharashtra + 57 more",1k-5k Employees (India),4.4,588,16 years old
797,IndiaFirst Life ...,Government,"Mumbai,Maharashtra + 114 more",1k-5k Employees (India),4.3,586,13 years old
798,Apco Infratech,Private,"Lucknow,Uttar Pradesh + 52 more",1k-5k Employees (India),3.9,585,30 years old
799,C.R.I. Pumps,Private,"Coimbatore,Tamil Nadu + 49 more",1k-5k Employees (India),3.9,585,61 years old
800,GlaxoSmithKline ...,Public,London + 84 more,1k-5k Employees (India),4.6,603,22 years old
801,Acme Cleantech S...,Private,"Gurgaon/Gurugram,Haryana + 76 more",1k-5k Employees (India),3.9,584,19 years old
802,MDIndia Health I...,Private,"Pune,Maharashtra + 55 more",5k-10k Employees (India),4.0,584,22 years old
803,Jaquar,Private,Gurgaon + 68 more,1k-5k Employees (India),4.2,584,62 years old
804,PNC Infratech,Public,"Delhi/NCR,Delhi + 56 more",5k-10k Employees (India),4.0,583,23 years old
805,Shriram Life Ins...,Private,"Hyderabad/Secunderabad,Telangana + 168 more",50k-1 Lakh Employees (India),4.1,583,17 years old
806,Nexa,Private,"Delhi/NCR,Delhi + 144 more",1k-5k Employees (India),4.1,581,7 years old
807,Yashoda Hospital...,Private,"Ghaziabad,Uttar Pradesh + 18 more",501-1k Employees (India),3.8,579,33 years old
808,INDUSIND MARKETI...,Private,"Chennai,Tamil Nadu + 232 more",501-1k Employees (India),4.2,578,20 years old
809,Credit Suisse,Private,Zurich + 6 more,1k-5k Employees (India),4.0,577,166 years old
810,Shubham Housing ...,Private,"Gurgaon,Haryana + 85 more",10k-50k Employees (India),4.2,576,12 years old
811,Clover Infotech,Private,"Mumbai,Maharashtra + 13 more",1k-5k Employees (India),3.8,576,28 years old
812,Sandvik Asia,Private,"Stockholm,Stockholm + 27 more",1k-5k Employees (India),4.3,575,160 years old
813,Hatsun Agro Prod...,Public,"Chennai,Tamil Nadu + 69 more",1k-5k Employees (India),4.2,575,52 years old
814,Infogain,Private,"Los Gatos,California + 13 more",1k-5k Employees (India),3.9,575,32 years old
815,Hinduja Leyland ...,Private,"Chennai,Tamil Nadu + 173 more",1k-5k Employees (India),4.1,785,16 years old
816,Sri Chaitanya Ed...,Private,"Hyderabad/Secunderabad,Telangana + 57 more",51-200 Employees (India),3.9,573,36 years old
817,Ivrcl Infrastruc...,Public,"Hyderabad/Secunderabad,Telangana + 54 more",1k-5k Employees (India),4.4,572,35 years old
818,Paytm Payments B...,Public,"Noida,Uttar Pradesh + 79 more",1k-5k Employees (India),3.9,572,6 years old
819,Hyundai Mobis,Private,"Kanchipuram,Tamil Nadu + 31 more",51-200 Employees (India),3.8,572,5 years old
820,Novo Nordisk,Private,"New York City,New York + 49 more",1k-5k Employees (India),4.0,572,99 years old
821,Rockman Industri...,Private,"Delhi/NCR,Delhi + 23 more",1k-5k Employees (India),3.7,570,62 years old
822,Capacit'e Infrap...,Public,"Mumbai,Maharashtra + 23 more",501-1k Employees (India),3.8,597,10 years old
823,Pramerica Life I...,Private,Gurgaon + 110 more,1k-5k Employees (India),3.9,567,8 years old
824,Sansera Engineer...,Public,"Bangalore/Bengaluru,Karnataka + 17 more",501-1k Employees (India),4.2,566,36 years old
825,Colgate Palmoliv...,Public,"New York,New York + 84 more",1k-5k Employees (India),4.3,566,85 years old
826,Sundaram Finance,Public,"Chennai,Tamil Nadu + 170 more",1k-5k Employees (India),4.3,565,68 years old
827,Galfar,Private,Muscat + 28 more,1k-5k Employees (India),4.2,565,50 years old
828,Duck Creek,LLP,"Boston,Massachusetts + 3 more",501-1k Employees (India),4.7,565,22 years old
829,FirstCry,Private,"Pune,Maharashtra + 65 more",1k-5k Employees (India),3.8,564,12 years old
830,Bharti Infratel,Public,"Gurgaon/Gurugram,Haryana + 65 more",1k-5k Employees (India),4.4,564,16 years old
831,Gujarat Fluoroch...,Private,"Noida,Uttar Pradesh + 20 more",1k-5k Employees (India),4.2,563,35 years old
832,Samsung Engineer...,Private,"Suwon-Si,Gyeonggi-Do + 37 more",1k-5k Employees (India),4.3,563,16 years old
833,Marks & Spencer,Private,London + 47 more,1k-5k Employees (India),4.5,562,138 years old
834,FLSmidth,Private,"Copenhagen,Valby + 20 more",1k-5k Employees (India),3.8,561,140 years old
835,Pizza Hut,Private,"Plano,Texas + 75 more",1k-5k Employees (India),4.0,560,64 years old
836,JSW Cement,Private,"Mumbai,Maharashtra + 81 more",1k-5k Employees (India),4.0,559,13 years old
837,C&S Electric,Private,"Delhi/NCR,New Delhi + 40 more",5k-10k Employees (India),3.9,559,56 years old
838,Planet Spark,Private,"Gurgaon,Haryana + 22 more",51-200 Employees (India),3.5,559,5 years old
839,LOREAL,Private,Clichy + 65 more,1k-5k Employees (India),4.3,590,31 years old
840,Altruist Technol...,Private,"Chandigarh,Union Territory Of Chandigarh + 19 more",51-200 Employees (India),3.1,558,17 years old
841,Centum Electroni...,Public,"Bangalore/Bengaluru,Karnataka + 8 more",1k-5k Employees (India),3.9,557,28 years old
842,Tata steel BSL,Public,"Mumbai,Maharashtra + 28 more",10k-50k Employees (India),4.0,557,35 years old
843,Pricol,Public,"Coimbatore,Tamil Nadu + 17 more",1k-5k Employees (India),3.9,631,47 years old
844,SAI Life Science...,Public,Hyderabad + 6 more,1k-5k Employees (India),3.9,556,23 years old
845,Perfetti Van Mel...,Private,Lainate + 82 more,1k-5k Employees (India),4.3,556,21 years old
846,Greaves Cotton,Public,"Mumbai,Maharashtra + 27 more",1k-5k Employees (India),4.2,556,163 years old
847,Indiabulls Ventu...,Public,"Mumbai,Maharashtra + 74 more",1k-5k Employees (India),3.4,555,27 years old
848,Vibgyor High Sch...,Private,Mumbai + 16 more,1k-5k Employees (India),3.9,555,18 years old
849,Punjab National ...,Private,"Delhi/NCR,Delhi + 125 more",50k-1 Lakh Employees (India),4.1,554,128 years old
850,Gmmco,Private,"Chennai,Tamil Nadu + 66 more",1k-5k Employees (India),4.2,554,55 years old
851,Kirloskar Brothe...,Public,Pune + 47 more,1k-5k Employees (India),4.1,590,134 years old
852,INDO-MIM,Private,"Bangalore/Bengaluru,Karnataka + 11 more",1k-5k Employees (India),4.3,552,24 years old
853,Unicharm,Private,"Mita,Tokyo + 97 more",1k-5k Employees (India),4.3,552,61 years old
854,Panacea Biotec,Public,"Delhi/NCR,New Delhi + 45 more",1k-5k Employees (India),4.0,562,38 years old
855,eClinicalWorks,Private,"Westborough,Massachusetts + 9 more",1k-5k Employees (India),4.2,551,23 years old
856,Eureka Outsourci...,Private,"Thane,Maharashtra + 14 more",1k-5k Employees (India),3.3,551,20 years old
857,KEI Industries,Public,"Delhi/NCR,Delhi + 57 more",5k-10k Employees (India),4.0,550,54 years old
858,Hindustan Zinc,Public,"Udaipur,Rajasthan + 22 more",1k-5k Employees (India),3.8,549,56 years old
859,Mahindra First C...,Private,"Mumbai,Maharashtra + 97 more",1k-5k Employees (India),4.0,549,28 years old
860,Edelweiss Tokio ...,"Mumbai,Maharashtra + 96 more",11 years old,,4.0,549,1k-5k Employees (India)
861,Fareportal,Private,"New York,New York + 7 more",1k-5k Employees (India),3.3,547,20 years old
862,Aviva Life Insur...,JV,London + 81 more,1k-5k Employees (India),3.9,546,326 years old
863,Mswipe Technolog...,Private,"Mumbai,Maharashtra + 68 more",1k-5k Employees (India),3.1,545,11 years old
864,Tenneco,Private,"Lake Forest,Illinois + 24 more",1k-5k Employees (India),3.8,545,82 years old
865,Bechtel,Private,"Reston,Virginia + 24 more",1k-5k Employees (India),4.1,543,124 years old
866,Morgan Stanley,Private,"New York,New York + 10 more",10k-50k Employees (India),4.1,543,91 years old
867,Ion Exchange Ind...,Public,"Mumbai,Maharashtra + 63 more",1k-5k Employees (India),3.8,541,58 years old
868,Hindustan Sanita...,Public,"Gurgaon/Gurugram,Haryana + 52 more",1k-5k Employees (India),4.1,540,62 years old
869,Kinara Capital,Private,"Bangalore,Karnataka + 87 more",1k-5k Employees (India),4.6,540,11 years old
870,Magna Infotech,Private,Bangalore + 40 more,1k-5k Employees (India),3.4,539,25 years old
871,Fidelity Investm...,Private,"Boston,Massachusetts + 8 more",5k-10k Employees (India),4.3,1.1k,76 years old
872,Carnival Cruise ...,Public,"Miami,Florida + 20 more",1k-5k Employees (India),4.6,538,50 years old
873,Apollo Munich He...,Public,Gurgaon + 108 more,1k-5k Employees (India),3.9,538,15 years old
874,Episource,Private,"Gardena,California + 8 more",1k-5k Employees (India),3.9,537,16 years old
875,Future Focus Inf...,Private,Chennai + 48 more,1k-5k Employees (India),3.6,537,25 years old
876,RBL FinServe,Private,"Mumbai,Maharashtra + 181 more",5k-10k Employees (India),4.2,537,17 years old
877,TCS iON,Mumbai + 69 more,11 years old,,3.8,535,1k-5k Employees (India)
878,Atos Global IT S...,"Navi Mumbai,Maharashtra + 12 more",22 years old,,4.1,535,10k-50k Employees (India)
879,Electrosteel Ste...,Public,Jharkhand + 13 more,501-1k Employees (India),4.1,534,16 years old
880,TietoEVRY,Public,Helsinki + 5 more,1k-5k Employees (India),4.3,534,54 years old
881,Olam,Public,"Chennai,Tamil Nadu + 37 more",1k-5k Employees (India),4.1,534,33 years old
882,Decathlon,Private,Lille + 58 more,1k-5k Employees (India),4.0,533,46 years old
883,DAV Public Schoo...,Private,"Delhi/NCR,New Delhi + 123 more",1 Lakh+ Employees (India),4.1,533,136 years old
884,Trimax IT Infras...,Private,"Mumbai,Maharashtra + 66 more",1k-5k Employees (India),3.5,562,27 years old
885,Egis  India Cons...,Private,"Gurgaon/Gurugram,Haryana + 79 more",1k-5k Employees (India),4.2,531,17 years old
886,Imperial Auto In...,Public,"Faridabad,Haryana + 23 more",1k-5k Employees (India),3.8,531,53 years old
887,Sykes Business S...,Private,"Tampa,Florida + 13 more",10k-50k Employees (India),3.5,531,45 years old
888,Syngenta,Private,"Basel,Basel + 96 more",1k-5k Employees (India),4.3,530,22 years old
889,Huhtamaki,Private,Espoo + 25 more,201-500 Employees (India),4.2,529,87 years old
890,MAHLE ANAND Filt...,Private,"Stuttgart,Germany + 20 more",201-500 Employees (India),4.2,528,17 years old
891,Adobe,Public,"San Jose,California + 11 more",5k-10k Employees (India),4.3,528,25 years old
892,Bank of India,Private,"Mumbai,Maharashtra + 124 more",50k-1 Lakh Employees (India),3.9,528,116 years old
893,Star Union Dai-i...,Government,"Navi Mumbai,Maharashtra + 118 more",1k-5k Employees (India),3.9,528,13 years old
894,NEC,Private,Tokyo + 32 more,1k-5k Employees (India),4.2,1.1k,123 years old
895,Jakson Group,Private,"Noida,Uttar Pradesh + 59 more",1k-5k Employees (India),3.9,527,75 years old
896,Indegene,Private,Princeton + 16 more,1k-5k Employees (India),3.9,526,24 years old
897,Schlumberger,Private,"Houston,Texas + 30 more",5k-10k Employees (India),4.3,537,96 years old
898,Kyndryl,Bengaluru/Bangalore + 16 more,50k-1 Lakh Employees (India),,4.0,524,
899,The Ramco Cement...,Public,"Chennai,Tamil Nadu + 69 more",1k-5k Employees (India),4.2,523,61 years old
900,Neel Metal Produ...,Gurgaon + 27 more,201-500 Employees (India),,4.2,522,
901,Hitachi Systems ...,Private,"Chiyoda City,Tokyo + 67 more",1k-5k Employees (India),3.9,522,31 years old
902,Teva Pharmaceuti...,Private,"Dublin,Dublin + 28 more",1k-5k Employees (India),4.1,761,43 years old
903,Sonata Software,Public,"Bangalore/Bengaluru,Karnataka + 9 more",1k-5k Employees (India),4.1,521,36 years old
904,Air India Sats A...,Private,"Mumbai,Maharashtra + 21 more",1k-5k Employees (India),3.9,519,12 years old
905,DuPont,Private,"Wilmington,Delaware Valley + 48 more",1k-5k Employees (India),4.3,519,220 years old
906,Crowne Plaza,Public,"Atlanta,Georgia + 28 more",501-1k Employees (India),4.2,1.4k,39 years old
